"productName","productBasePrice","productFinalPrice","stock","labelMeasurement","pictUrl"
"Indomie Mie Soto Mie 70g","Rp84.825","Rp84.475","Stock Ada","Per 1 kardus isi 40 pcs","https://s0.bukalapak.com/general-trade/img/06572/small/bec351f5833a123895de_data.png?1556816162"
"Indomie Mie Ayam Bawang 69g","Rp. 0","Rp84.475","Stock Ada","Per 1 kardus isi 40 pcs","https://s1.bukalapak.com/general-trade/img/65672/small/f0e70b206cc75c8fb760_data.png?1556816179"
"Indomie Mie Kari Ayam 72g","Rp90.975","Rp90.625","Stock Ada","Per 1 kardus isi 40 pcs","https://s3.bukalapak.com/general-trade/img/36572/small/1d7abea23acc58dddde8_data.png?1556816163"
"Indomie Mie Goreng Special 85g","Rp. 0","Rp90.130","Stock Ada","Per 1 kardus isi 40 pcs","https://s3.bukalapak.com/general-trade/img/38612/small/indofood_indomie_goreng_special_mi_instan__85_gr__full01.jpg?1556813908"
"Indomie Mie Ayam Special 68g","Rp. 0","Rp88.580","Stock Habis","Per 1 kardus isi 40 pcs","https://s4.bukalapak.com/general-trade/img/95672/small/3ad57bca8267578fe2cf_data.png?1556816179"
"Indomie Mie Kaldu Ayam 75g","Rp76.525","Rp76.175","Stock Habis","Per 1 kardus isi 40 pcs","https://s1.bukalapak.com/general-trade/img/68612/small/INDOMIE_KALDU_AYAM_75_GR.jpg?1556813909"
"Indomilk Kids Coklat 115ml","Rp. 0","Rp11.580","Stock Habis","Per 5 pcs","https://s4.bukalapak.com/general-trade/img/47552/small/e997fc4c24b9228018b6_data.png?1556815753"
"Indomilk Kids Stroberi 115ml","Rp. 0","Rp11.580","Stock Habis","Per 5 pcs","https://s1.bukalapak.com/general-trade/img/17552/small/83caa38c59c243bc029c_data.png?1556815752"
"Indomilk Liquid Vanilla Botol 190ml","Rp3.675","Rp3.430","Stock Habis","Per 1 pcs","https://s1.bukalapak.com/general-trade/img/19922/small/08a3dc7e62425c0300d7_d61f821826a4272657912da5602d7ce1.png?1556814982"
"Indomilk Liquid Cokelat Botol 190ml","Rp3.675","Rp3.430","Stock Habis","Per 1 pcs","https://s2.bukalapak.com/general-trade/img/79922/small/b7ab0ed0d662ccd07fd1_10003373_1.jpg?1556814983"
"Indomilk Kids Vanilla 125/115ml","Rp. 0","Rp11.580","Stock Habis","Per 5 pcs","https://s0.bukalapak.com/general-trade/img/56552/small/099c3dda44bd842148ef_data.png?1556815751"
"Indomilk Liquid Stroberi Botol 190ml","Rp3.675","Rp3.430","Stock Habis","Per 1 pcs","https://s0.bukalapak.com/general-trade/img/00032/small/5d5b1f7f6ba1ab76ca7f_10003426_1.jpg?1556814984"
"Indomilk SKM Putih Sachet 37g","Rp6.850","Rp6.500","Stock Habis","Per 1 renceng isi 6 pcs","https://s3.bukalapak.com/general-trade/img/87452/small/7623da3a0baabd0a138b_data.png?1556815728"